127.0.0.1 - - [29/Jul/2015:14:46:01 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:46:04 +0530] "GET /HttpDemo/index.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:46:11 +0530] "GET /HttpDemo/HttpservletDemo?name=&pwd=&login=login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:35 +0530] "GET /HttpDemo/index.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:35 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:35 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:35 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:36 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:36 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:36 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:36 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:47:56 +0530] "GET /HttpDemo/HttpservletDemo?name=vikram@gmail.com&pwd=sdsffddvhusijfdkh&login=login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:16 +0530] "GET /HttpDemo/index.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:17 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:17 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:17 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:17 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:17 +0530] "GET /HttpDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:28 +0530] "GET /HttpDemo/index.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [29/Jul/2015:14:54:42 +0530] "POST /HttpDemo/HttpservletDemo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jul/2015:15:02:14 +0530] "GET /HttpDemo/index.html HTTP/1.1" 200 379
