127.0.0.1 - - [04/Aug/2015:14:38:13 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Aug/2015:14:38:18 +0530] "GET /JSPDemo/Hello.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [04/Aug/2015:14:48:47 +0530] "GET /JSPDemo/Hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:03:21 +0530] "GET /JSPDemo/index.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:03:51 +0530] "GET /JSPDemo/index.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:03:52 +0530] "GET /JSPDemo/index.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:04:55 +0530] "GET /JSPDemo/index.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:04:55 +0530] "GET /JSPDemo/index.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:31:07 +0530] "GET /JSPDemo/home.jsp HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:31:14 +0530] "GET /JSPDemo/Add.jsp?n1=10&n2=20&submit=add HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [04/Aug/2015:15:31:21 +0530] "GET /JSPDemo/Add.jsp?n1=50&n2=60&submit=add HTTP/1.1" 200 746
