127.0.0.1 - - [28/Jul/2015:16:47:33 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:47:37 +0530] "GET /FirstServlet/index.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:47:40 +0530] "GET /FirstServlet/fs?fno=&sno=&submit=add HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:47:55 +0530] "GET /FirstServlet/fs?fno=6&sno=8&submit=add HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:43 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:43 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:44 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:44 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:44 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:44 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:45 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:45 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:45 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:45 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:45 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:46 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:48 +0530] "GET /FirstServlet/fs?fno=6&sno=8&submit=add HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [28/Jul/2015:16:54:53 +0530] "GET /FirstServlet/fs?fno=10&sno=8&submit=add HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [28/Jul/2015:17:40:09 +0530] "GET /FirstServlet/index.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Jul/2015:17:40:10 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:17:40:10 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:17:40:10 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:17:40:10 +0530] "GET /FirstServlet/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:17:40:16 +0530] "GET /FirstServlet/fs?fno=10&sno=0&submit=div HTTP/1.1" 200 27
